Package,Function,Definition
.Primitive,(...),Operator that evaluates the function name on the left-hand-side (LHS) of the opening parentheses using the arguments enclosed by the parentheses
.Primitive,<-,Infix operator that assigns an object on the right-hand-side (RHS) to a name on the left-hand-side (LHS) -- this should be used for global assignments!
.Primitive,=,Infix operator that assigns an object on the right-hand-side (RHS) to a name on the left-hand-side (LHS) -- this should not be used for global assignments!
.Primitive,~,The formula operator separates the left- and right-hand sides (LHS and RHS) in a formula.
.Primitive,:,Infix operator that generates a regular sequence of adjacent values
.Primitive,==,Infix relational operator (is equal to)
.Primitive,!,Prefix logical operator (not)
.Primitive,+,Infix arithmetic operator (addition)
.Primitive,-,Infix arithmetic operator (subtract) or prefix negative symbol operator
.Primitive,/,Infix arithmetic operator (divide)
.Primitive,c,Combine values to form an atomic vector
.Primitive,class,Print the class of an object as a one-value character vector
.Primitive,list,"Combine multiple objects of any type into a single, recursive, data object"
base,%in%,Infix relational operator that tests whether the vector on the left-hand-side (LHS) is within the vector on the right
base,as.matrix,Convert a data frame to a matrix
base,library,Attach the package environment for a given package to the current R session
dplyr,arrange,Sort the rows of a data frame by the values in a variable or variables
dplyr,bind_rows,Combine rows of two or more tibbles to create a new tibble
dplyr,filter,Subset a data frame by logical condition
dplyr,mutate,Add or modify a column in a data frame
dplyr,select,Subset columns in a data frame by name (without quotes!)
dplyr,slice,Subset a data frame by row or rows using the row position(s)
dplyr,summarize,Calculate one or more summary statistics on a variable or variables in a data frame (often used in conjunction with `group_by()` but may also be used with `.by = ...`)
ggplot2,+,ggplot's pipe operator (adds a layer to a plot)
ggplot2,aes,Define aesthetics
ggplot2,geom_sf,Add an sf layer to a ggplot
ggplot2,geom_sf_text,Add an sf layer to a ggplot as a text
ggplot2,ggplot,"Set the data and, potentially, the aesthetics of a plot"
ggplot2,theme_set,Set the ggplot theme for an entire session
ggplot2,theme_void,A ggplot theme that contains no axes or panel background
magrittr,%>%,The pipe operator passes the output of the LHS argument to the function on the right
sf,st_as_sf,Convert a data frame to an sf object
sf,st_cast,Convert a geometry from one type to another
sf,st_combine,Combine multiple geometries into a single geometry
sf,st_coordinates,Extract coordinates from an sf object as a matrix
sf,st_linestring,Convert a matrix to a linestring geometry object
sf,st_point,Convert a vector of coordinates to a single point
sf,st_polygon,Convert a list to a polygon geometry object
sf,st_read,Read in a simple features or other GIS shapefile
sf,st_sf,Convert a simple features column object to an sf object
sf,st_sfc,Store a geometry in a simple features column object
tibble,tibble,Column-wise creation of a tibble data frame
tibble,tribble,Row-wise creation of a tibble data frame
