Package,Function,Definition
.Primitive,(...),Operator that evaluates the function name on the left-hand-side (LHS) of the opening parentheses using the arguments enclosed by the parentheses
.Primitive,<-,Infix operator that assigns an object on the right-hand-side (RHS) to a name on the left-hand-side (LHS) -- this should be used for global assignments!
.Primitive,=,Infix operator that assigns an object on the right-hand-side (RHS) to a name on the left-hand-side (LHS) -- this should not be used for global assignments!
.Primitive,~,The formula operator separates the left- and right-hand sides (LHS and RHS) in a formula.
.Primitive,:,Infix operator that generates a regular sequence of adjacent values
.Primitive,$,Infix operator that extracts the values associated with a name (RHS) from a recursive object (LHS)
.Primitive,==,Infix relational operator (is equal to)
.Primitive,+,Infix arithmetic operator (addition)
.Primitive,-,Infix arithmetic operator (subtract) or prefix negative symbol operator
.Primitive,/,Infix arithmetic operator (divide)
.Primitive,c,Combine values to form an atomic vector
.Primitive,names,Retrieve the names (or names attribute) assigned to an R object (generates a character vector)
base,file.path,Create a file path by concatenating strings
base,library,Attach the package environment for a given package to the current R session
base,list.files,List files in a specified folder on your computer's hard drive
base,tolower,Convert a character vector to lowercase
dplyr,filter,Subset a data frame by logical condition
dplyr,group_by,Group the data in a data frame by a given variable such that one or more subsequent analyses are run separately on each group
dplyr,inner_join,A mutating join that joins a source table to a target table and maintains only records with matching key values
dplyr,left_join,"A mutating join that joins a source table to a target table and maintains all records found in the target table, regardless of matching key values"
dplyr,n,Calculate the number of observations (rows)
dplyr,select,Subset columns in a data frame by name (without quotes!)
dplyr,summarize,Calculate one or more summary statistics on a variable or variables in a data frame (often used in conjunction with `group_by()` but may also be used with `.by = ...`)
lubridate,year,Extract the year from a properly formatted date value
magrittr,%>%,The pipe operator passes the output of the LHS argument to the function on the right
purrr,map,Iterate across a vector and return a list
readr,read_csv,Read a tabular csv file into R as a tibble data frame
readr,read_rds,Read an RDS file into R
rlang,set_names,Assign names to values in a vector or items in a list
sf,st_as_sf,Convert a data frame to an sf object
sf,st_bbox,Get the bounding box of a shapefile or create a bounding box from scratch
sf,st_crs,Get the CRS of a shapefile
sf,st_filter,"Conduct a filtering join (i.e., subset geometries) of a target table relative to the geometry of a source table"
sf,st_join,Conduct a mutating join of a target table relative to the geometry of a source table
sf,st_read,Read in a simple features or other GIS shapefile
sf,st_transform,Transform the CRS of a shapefile to a different CRS
tibble,as_tibble,Convert a data frame (and some other non-tibble objects!) to a tibble data frame
tibble,tibble,Column-wise creation of a tibble data frame
tmap,tm_basemap,Add a basemap layer to an interactive tmap
tmap,tm_dots,Add a points layer to a tmap
tmap,tm_layout,Define the layout of a tmap
tmap,tm_polygons,Add a polygon layer to a tmap
tmap,tm_rgb,Add a raster layer (used here as an image file) to a tmap
tmap,tm_shape,Define the shape that is the source of a tmap layer
tmap,tmap_animation,Convert a series of tmaps to a GIF
tmap,tmap_mode,"Set a tmap to either ""plot"" (static map) or ""view"" (interactive map)"
tmap,tm_view,"Set the view of an interactive tmap (e.g., zoom level)"
tmaptools,palette_explorer,Run a shiny app that will provide you with a super useful dashboard for choosing colors!
